"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_4","FWB1_5","FWB1_6","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_2","FS1_3"
"1",1,3,3,5,6,33,1,1,2,4,5,2,4,4,40,3,2
"1",1,3,7,7,7,58,3,3,3,2,3,3,2,2,52,4,4
"1",1,3,5,5,4,46,2,1,2,5,4,3,2,3,33,2,1
"1",1,3,6,6,6,64,4,5,5,5,1,5,2,2,49,3,4
"1",1,3,5,6,5,49,3,3,3,4,3,3,2,3,42,3,2
"1",1,3,7,6,7,51,3,1,3,3,3,2,2,3,47,2,4
"1",1,2,5,7,7,27,1,1,1,5,5,2,4,5,47,5,3
"1",1,3,6,7,7,60,2,3,3,2,2,3,3,2,48,3,3
"1",2,3,6,5,7,75,4,4,4,1,3,5,1,2,54,5,4
"1",1,3,5,7,5,67,5,1,1,1,1,5,2,2,57,4,4
"1",2,3,4,4,4,59,3,3,3,4,2,3,1,2,46,2,3
"1",1,1,4,7,4,43,2,2,2,5,5,2,3,2,42,3,3
"1",2,3,7,7,5,76,3,5,5,1,1,5,2,2,57,4,4
"1",1,3,6,7,7,68,4,4,4,1,2,4,1,2,55,3,4
"1",1,1,1,1,7,38,1,1,2,1,5,1,2,2,30,1,2
"1",2,3,6,6,6,58,4,4,4,3,3,3,2,3,62,4,4
"1",1,2,4,4,7,51,4,2,4,3,5,4,2,3,55,5,3
"1",1,2,3,4,5,49,4,3,4,3,3,3,2,4,58,5,4
"1",1,3,7,7,7,66,5,5,5,1,3,5,5,1,68,3,5
"1",1,3,6,6,7,63,5,4,5,3,3,5,1,2,61,5,4
"1",1,3,7,7,7,51,5,3,5,3,3,5,1,4,54,4,4
"1",1,3,3,5,6,66,4,4,3,1,3,5,1,1,50,4,2
